,id,tweet_text,tweet_date,query_used,filtered_words,join_words,sentiment
0,1046764676707753987,Apartamento Vila Mariana Praça Monteiro dos Santos O iMudou é especialista em imóveis e encontrou 7 oportunidades para a busca apartamento vila mariana praca monteiro dos santos. Temos as ofertas com o menor preço! :) https://t.co/8JlJ0N1Ewe,Mon Oct 01 14:12:01 +0000 2018,:),"['apartamento', 'vila', 'mariana', 'praca', 'monteiro', 'santo', 'imud', 'especialista', 'imovei', 'encontr', 'oportunidad', 'busca', 'apartamento', 'vila', 'mariana', 'praca', 'monteiro', 'santo', 'oferta', 'menor', 'preco']",apartamento vila mariana praca monteiro santo imud especialista imovei encontr oportunidad busca apartamento vila mariana praca monteiro santo oferta menor preco,2
1,1047329264943751169,@FalleNCS @BrasilGameShow quero 1x1 de scout. Dizem que dou muita bala cagada :),Wed Oct 03 03:35:29 +0000 2018,:),"['fallenc', 'brasilgameshow', 'quero', 'x', 'scout', 'dizem', 'dou', 'muita', 'bala', 'cagada']",fallenc brasilgameshow quero x scout dizem dou muita bala cagada,0
2,1045443874947313665,mais uma analógica no correio à minha espera :D Só falta receber duas lentes e começar a revelar em casa.,Thu Sep 27 22:43:37 +0000 2018,:),"['analogica', 'correio', 'espera', 'd', 'so', 'falta', 'receb', 'dua', 'lent', 'comecar', 'revelar', 'casa']",analogica correio espera d so falta receb dua lent comecar revelar casa,1
3,1040484298711814144,"Em festa de posse como presidente do STF, Toffoli canta Legião Urbana https://t.co/IEs709I35Z",Fri Sep 14 06:16:02 +0000 2018,folha,"['festa', 'poss', 'president', 'stf', 'toffoli', 'canta', 'legiao', 'urbana']",festa poss president stf toffoli canta legiao urbana,2
4,1045411876887306240,@thethiagor @jubsilva @GSCISA @GrupoMulheRIs A Flávia tem tuiter também @fmedeirosss :),Thu Sep 27 20:36:28 +0000 2018,:),"['thethiagor', 'jubsilva', 'gscisa', 'grupomulheri', 'flavia', 'tuiter', 'tambem', 'fmedeirosss']",thethiagor jubsilva gscisa grupomulheri flavia tuiter tambem fmedeirosss,1
5,1046755008824455168,"@putaqueparola @aaa_nie @jrpilar @DCM_online Brincadeiras: não pode de um lado, pode de outro. De um lado é ódio, do outro só meme. Deu pra entender sim, obrigado :)",Mon Oct 01 13:33:36 +0000 2018,:),"['putaqueparola', 'aaa', 'nie', 'jrpilar', 'dcm', 'onlin', 'brincadeira', 'nao', 'pode', 'lado', 'pode', 'outro', 'lado', 'odio', 'outro', 'so', 'meme', 'deu', 'pra', 'entend', 'sim', 'obrigado']",putaqueparola aaa nie jrpilar dcm onlin brincadeira nao pode lado pode outro lado odio outro so meme deu pra entend sim obrigado,1
6,1049323059369447425,"Tem um senhor de idade aqui no hospital onde eu estou, chorando de dor e chamando o nome dos filhos dele Ele tá internado sem nenhum acompanhante. Estou muito triste :(",Mon Oct 08 15:38:07 +0000 2018,:(,"['senhor', 'idad', 'aqui', 'hospit', 'ond', 'chorando', 'dor', 'chamando', 'nome', 'filho', 'ta', 'internado', 'nenhum', 'acompanhant', 'trist']",senhor idad aqui hospit ond chorando dor chamando nome filho ta internado nenhum acompanhant trist,0
7,1049032860626247682,"Votação de brasileiros no exterior deve ser recorde, diz Itamaraty https://t.co/o2Hzp5F390",Sun Oct 07 20:24:58 +0000 2018,veja,"['votacao', 'brasileiro', 'exterior', 'deve', 'ser', 'record', 'diz', 'itamarati']",votacao brasileiro exterior deve ser record diz itamarati,2
8,1037681285689475072,#Fato isto explica tudo https://t.co/tcz7JEG3Bw,Thu Sep 06 12:37:52 +0000 2018,#fato,"['fato', 'explica', 'tudo']",fato explica tudo,2
9,1049319300551593989,@LauandaVentura Vou tentar mais uma vez :-),Mon Oct 08 15:23:11 +0000 2018,:),"['lauandaventura', 'vou', 'tentar', 'vez']",lauandaventura vou tentar vez,0
